number,close_notes
INC1439594,Manually Cancelled
INC1439593,Manually Cancelled
INC1439592,Manually Cancelled
INC1439591,Manually Cancelled
INC1439590,Manually Cancelled
INC1439589,Manually Cancelled
INC1439588,Manually Cancelled
INC1439587,Manually Cancelled
INC1439586,Manually Cancelled
INC1439585,Manually Cancelled
INC1439584,Manually Cancelled
INC1439583,Manually Cancelled
INC1439582,Manually Cancelled
INC1439503,"RESTARTED
"
INC1439502,RESTARTED
INC1437527,restarted
INC1437301,restarted
INC1437300,redundant 
INC1437006,Restarted
INC1436623,Planned outage. error connecting HCI system
INC1436622,cancelled manually
INC1436621,cancelled manually
INC1436620,cancelled manually
INC1436493,IBP Downtime
INC1436480,"Will Create new ticket for TR movement if required
"
INC1435935,Memory issue. Job restarted
INC1435928,Memory issue. Job restarted
INC1435641,Job was successful in Sandbox after error correction.
INC1434672,restarted the job
INC1433471,sap outage. Job restarted
INC1433469,sap outage. job restarted
INC1432874,The VSF for this product are now created after the fix is moved. Marking the ticket as resolved
INC1432851,"Hi

Confirmed with user. This is resolved"
INC1432433,restarted
INC1431795,Job completed after rerun
INC1431164,"RESTARTED. Memory issue in SAP for Shipment history extractor. Restarted after temporary increase in memory
"
INC1429327,restarted
INC1429324,"Restarted
"
INC1429298,rsolved
INC1428884,Data is visible in IBP
INC1428596,old WF timeout
INC1428595,old WF timeout
INC1428591,old WF timeout
INC1428522,Working as designed. no Issue found
INC1426560,SSwitched the sequence of jobs to run subcon vendor prior to Subconf MFG
INC1426142,The eligibility on these materials ended on 5/24/21. Daniel will reach out to Susan or Mariana to extend the eligibility. Confirmed by Daniel to close as there is no action required from IBP run team.
INC1426051,restarted
INC1426050,restarted
INC1425860,restarted
INC1425827,"job is complete on temporary memory increase onServer 3. 

Need to work on Code Optimization"
INC1425583,"IBP system downtime
"
INC1425573,restarted
INC1424905,"SKU in question is planning correctly now. Confirmed by Sharlyn

Problem created for further investigation to understand why Stock on hand is not copied to PMIC : PRB0044935"
INC1424751,"As discussed, The root cause is that brand desc is missing/blank for these SKUS.  Unfortunately high side and low side override key figures are designed with marking brand desc as ""mandatory"". Thus you are not able to enter the values for these combinations. Below are the 5 planning materials associated with this.

As confirmed by you, we would close the ticket for now. Please discuss internally on how you want to resolve this for future – (e.g. some options may include either maintain brand in SAP master data or change IBP design to keep high side and low side key figures as same planning level as LRF Draft etc.)"
INC1424483,RESTARTED
INC1424482,restarted
INC1423752,"Hi Carol,

We are closing this as we have not heard back on further issue with PPR. There is a separate ticket for which we are checking missing VSF. "
INC1423725,"PM: 503206 is now available in IBP. 
Confirmed by Chris to close"
INC1423476,restarted
INC1423474,restarted
INC1423463,restarted
INC1422878,Confirmed with Sharlyn and in the system that stock is now showing in the mentioned key figure.
INC1422788,"Inconsistencies were cleared and PPR was run for plant 1101. 

Confirmed by Carol the plan looks good."
INC1421388,restarted
INC1421178,RESTARTED
INC1421177,RESTARTED
INC1420834,"the issue is due to our last week's run of stat models being run with default model assignments

Reran the cleanup job to clear forecast and updated forecast with correct model assignments"
INC1420828,RESTARTED
INC1420762,RESTARTED
INC1420040,"timeout error
"
INC1420020,Cancelled manually
INC1420018,restarted
INC1419757,iBp is working fine now
INC1419619,Confirmed with Lyndsey this is resolved
INC1419205,restarted
INC1419204,restarted
INC1419183,timeout error
INC1418137,restarted
INC1418134,timeout error
INC1418133,restarted
INC1418044,restarted
INC1417973,restarted
INC1417451,restarted
INC1417117,"restarted
"
INC1416314,TIMEOUT ERROR
INC1416191,"timeout error
"
INC1415737,Confirmed with Christina that the data in EDW is matchind data in IBP. The duplicate rows seems to be because of Appleation code - the 2 records have different appleation code
INC1415649,"Stat model run after the History fix is complete.

Closing the ticket"
INC1415569,Confirmed with Tim. He is able to see history in IBP. So closing the incident
INC1415361,redundant
INC1415360,redundant
INC1415331,"timeout error
"
INC1415226,"TIMEOUT ERROR
"
INC1414902,sap system down
INC1414820,timeout
INC1414617,RESTARTED
INC1414597,CANCELLED MANUALLY
INC1414596,CANCELLED MANUALLY
INC1414574,cancelled manually
INC1414531,restarted
INC1414357,Confirmed with Christina. This is resolved after running the job to create combinations
INC1413519,restarted
INC1413518,restarted
INC1413477,restarted
INC1412814,Nothing failed. Closing this ticket
INC1412652,No Issue found. Closing the ticket as requested
INC1412506,restarted
INC1412334,The issue was with user excel memory consumption. Restarted excel and tried fixed the issue
INC1411830,CLosing the incident as discussed in the BRM call. The identified action plan for weekend run would be taken care of as a request
INC1411599,"VSFs present now after production versions were extended. 

Confirmed by Lyndsey to close the ticket"
INC1411493,"Sent the updated error report

Closing this ticket as it is not a breakfix"
INC1411038,restarted
INC1410992,forward plan looks good now. confirmed by jacklyn to close
INC1409714,restarted
INC1409637,"Dark Horse SKUs are updated in Indonesia in IBP after updating sales data
Cofirmed by Mandy to close"
